,Defensa y Justicia,,,,,Bournemouth,,,,,Cuiabá,,,,,América-MG,,,,,Atlético-GO,,,,,I. Del Valle,,,,,Al Jazira,,,,,Al Duhail,,,,,Urawa Red Diamonds,,,,,Al Ahly,,,,,Zamalek,,,,,Raja Casablanca,,,,,Tolima,,,,,Portuguesa,,,,,Botafogo-SP,,,,,Remo,,,,,Manaus
a,Ezequiel Unsain,GOL,26,7578,,David Brooks,PDMD,24,7682,,Marinho Rodriguinho,MEI,33,78,,Germán Conti,ZAG,27,77,,Felipe Édson,LD,30,75,,Cristian Pellerano,VOLMC,40,7474,,Bruno Henrique,VOL,32,78,,Toby Alderweireld,ZAG,33,83,,Alexander Scholz,ZAG,29,7575,,Ali Maâloul,LE,32,76,,Mohamed Abou Gabal,GOL,33,75,,Jogador,,Idade,Overall,,Alexander Domínguez,GOL,34,75,,Flávio Boaventura,ZAG,34,74,,,,,,,,,,,,
a,Francisco Pizzini,MD,28,7575,,Todd CantwellL,PEMEMC,23,7580,,Cardoso Éverton,MEI,33,76,,Iago Maidana,ZAG,26,75,,Marlon Freitas,MEI,26,75,,Lorenzo Faravelli,MCVOLMEI,28,7474,,André André,MEI,32,78,,Edmílson Junior,MEI,27,77,,Hiroki Sakai,LDLEZAG,31,7474,,Percy Tau,ATA,27,76,,Mahmoud Alaa,ZAG,31,75,,Anas Zniti,GOL,33,74,,Juan Caicedo,ATA,32,75,,Oliveira Naldo,ZAG,31,72,,,,,,,,,,,,
a,Walter Bou,ATASAMEI,28,7575,,Philip Billing,MCMEI,25,7579,,Capeloza Walter,GOL,34,75,,Patric Lalau,LD,32,75,,Luan Polli,GOL,28,74,,Junior Sornoza,MEI,28,7272,,Marcelo Grohe,GOL,35,77,,Ferjani Sassi,VOL,29,76,,Kasper Junker,ATA,27,7374,,Mohamed el Shenawy,GOL,33,75,,Ahmed Zizo,MEI,26,75,,Youness Mokhtar,MEI,30,74,,Andrés Ibargüen,MEI,29,75,,Michel Luan,ATA,33,71,,,,,,,,,,,,
a,Adonis Frías,ZAG,23,7379,,Jefferson Lerma,VOLMC,27,7577,,Ribeiro Paulão,ZAG,36,75,,Juninho Valoura,MEI,35,75,,Pereira Wanderson,ZAG,31,74,,Jonathan Bauman,ATA,30,7272,,Ahmed Hegazy,ZAG,31,77,,Tae-Hee Nam,MEI,30,75,,David Moberg Karlsson,SAPDATA,27,7272,,Ayman Ashraf,ZAG,30,75,,Achraf Bencharki,ATA,27,75,,Marouane Hadhoudi,ZAG,30,72,,José Moya,ZAG,29,74,,Vicente Paes,GOL,39,70,,,,,,,,,,,,
a,Raúl Loaiza,VOLMC,27,7373,,Freddie WoodmanL,GOL,24,7481,,Gonçalves Uendel,MEI,33,75,,Wellington Paulista,ATA,37,75,,Menezes Ramon,ZAG,26,74,,Richard Schunke,ZAG,30,7171,,Silva Romarinho,ATA,31,77,,Michael Olunga,ATA,27,74,,Ataru Esaka,SAATAMEI,29,7171,,Rami Rabia,ZAG,28,75,,Mahmoud Hamdy,ZAG,26,74,,Beni Badibanga,MEI,26,72,,Julián Quiñónes,ZAG,32,74,,Dênis Neves,LE,31,70,,,,,,,,,,,,
a,Carlos Rotondi,MEPE,24,7275,,Dominic Solanke,ATA,24,7478,,Souza André,ATA,31,75,,Silva Everaldo,ATA,27,75,,Éder Ferreira,ZAG,26,74,,Fernando Gaibor,MEIMCVOL,30,7070,,Igor Coronado,MEI,29,75,,Almoez Ali,ATA,25,74,,Vidal Parreu Koizumi,MEIMC,25,6973,,Amr el Solia,VOL,31,75,,Ahmed Fatouh,LE,23,74,,Mounir el Allouchi,MEI,27,72,,Sérgio Mosquera,ZAG,28,74,,Roger Gaúcho,MEI,35,70,,,,,,,,,,,,
a,Juan Gabriel Rodríguez,ZAG,27,7273,,Lewis Cook,MCVOL,25,7478,,Ferreira Valdívia,MEI,27,75,,Marcelino Jaílson,GOL,40,74,,Junio Jefferson,LE,25,74,,Beder Caicedo,LEME,29,7070,,Abderrazak Hamdallah,MEI,31,75,,Ali Afif,ATA,34,72,,Takuya Iwanami,ZAG,27,6970,,Mohamed Hany,LD,25,75,,Tarek Hamed,VOL,33,74,,Ilias Haddad,ZAG,33,70,,Jeison Angulo,LE,25,74,,Wilmar Jordán,ATA,31,70,,,,,,,,,,,,
a,Gabriel AlanísL,MEADE,27,7171,,Gary Cahill,ZAG,36,7474,,João Carlos,GOL,33,74,,João Paulo,LE,35,74,,Luis Dudu,LD,24,74,,Luis Segovia,ZAGLE,24,6975,,Fahad al Muwallad,ATA,27,74,,Ahmad Yasser,ZAG,27,70,,Tomoya Inukai,ZAG,28,6969,,Hussein el Shahat,MEI,29,75,,Youssef Obama,MEI,26,73,,Badr Boulahroud,VOL,28,70,,Juan Ríos,VOL,30,74,,Anderson Lessa,ATA,32,70,,,,,,,,,,,,
a,Nicolás Tripichio,LDZAG,26,7073,,Ryan Christie,PDMC,27,7474,,Alan Empereur,ZAG,27,74,,Adilson Juninho,LD,34,74,,Xavier Jorginho,MEI,31,74,,Moisés Ramírez,GOL,21,6880,,Ziyad al Sahafi,ZAG,27,72,,Khalid Muftah,LE,29,70,,Ken IwaoL,VOL,33,6969,,Mohamed Abdelmonem,ZAG,23,74,,Hazem Emam,MEI,33,72,,Mohsine Moutaouali,MEI,36,70,,Juan Angulo,LD,33,74,,Gouvea Vinícius,ZAG,32,68,,,,,,,,,,,,
