,Nacional,,,,,Peñarol,,,,,Olimpia,,,,,Cerro Porteño,,,,,Libertad,,,,,Colo-Colo,,,,,LaU,,,,,Univ. Católica,,,,,LDU,,,,,Barcelona-EQU,,,,,Emelec,,,,,Caracas,,,,,Alianza Lima,,,,,Sporting Cristal,,,,,Bolívar,,,,,Cienciano,,,,
a,Sergio Rochet,GOL,28,75,,Kevin Dawson,GOL,29,75,,Alejandro Silva,MEI,32,77,,Juan Patiño,ZAG,32,75,,Héctor Villalba,MEI,27,77,,Leonardo Gil,MEI,30,75,,Joaquín Larrivey,ATA,37,75,,Fabián Orellana,MEI,35,78,,Lucas Villarruel,VOLMC,31,7373,,Damián Diaz,MEI,35,77,,Jefferson Orejuela,VOL,28,75,,Richard Celis,ATAPEME,24,6774,,Juan Antonio Jernal,LEMC,29,6868,,Omar Merlo,ZAG,35,74,,Granell,VOLMCZAG,33,7272,,Lampros Kontogiannis,ZAG,33,72,
a,Diego Polenta,ZAG,29,75,,Maxi Pereira,LD,37,75,,Derlis González,ATA,27,77,,Ángel Cardozo Lucena,VOL,27,75,,Alexander Barboza,ZAG,26,76,,Brayan Cortés,GOL,26,74,,Júnior Fernándes,ATA,33,75,,Valber Huerta,ZAG,28,75,,Ezequiel Piovi,VOLMC,29,7373,,Fernando León,ZAG,28,75,,José Cevallos,MEI,26,75,,Leonardo Flores,MEMCVOL,25,6770,,Julio Baiva,LD,29,6868,,Nilson Loyola,LE,27,74,,Guitián,ZAG,31,7171,,Koichi Aparicio,ZAG,28,70,
a,Diego Rodríguez,VOL,32,75,,Gary Kagelmacher,ZAG,33,74,,Alfredo Aguilar,GOL,33,75,,Federico Carrizo,MEI,30,75,,Camilo Mayada,VOL,31,76,,Emiliano Amor,ZAG,26,74,,Fernando de Paul,GOL,30,74,,Juan Cornejo,ZAG,31,75,,Adrián Gabbarini,GOL,36,7171,,Javier Burrai,GOL,31,74,,Pedro Ortíz,GOL,31,74,,Eduardo Fereira,LD,20,6676,,Junior Dorlans,ZAGLDLE,21,6767,,Horacio Calcaterra,MEI,32,74,,Diego Bejarano,LDADDMD,30,7171,,Hansell Riojas,ZAG,30,70,
a,Andrès D'alessandro,MEI,40,75,,Giovanni González,VOL,27,74,,Saúl Salcedo,ZAG,24,75,,Jean Filho,GOL,26,74,,Lorenzo Melgarejo,MEI,31,76,,Maximiliano Falcón,ZAG,24,74,,Osvaldo González,ZAG,37,74,,Alfonso Parot,LE,32,75,,Luis Amarilla,ATA,26,7072,,Leonel Quiñónez,LE,28,74,,Leandro Vega,LE,25,74,,Beycker Velásquez,GOL,25,6671,,Josepmir Ballón,MCVOL,33,6767,,Christofer Gonzáles,MEI,29,74,,Leonardo Ramos,ATA,32,7171,,Danilo Carando,ATA,33,69,
a,Felipe Carballo,VOL,25,74,,Wálter Gargano,VOL,37,74,,Antolín Alcaraz,ZAG,39,75,,Williams Riveros,ZAG,29,74,,Martín Silva,GOL,38,75,,Óscar Opazo,VOL,31,74,,Ramón Arias,ZAG,29,74,,Raimundo Rebolledo,LD,24,75,,Franklin Guerra,ZAG,29,7070,,Bruno Piñatares,VOL,31,74,,Romario Caicedo,MEI,31,74,,Carlos Rivero,ZAGLD,28,6668,,Henry Briceldo,ATASA,29,6767,,Marcos Riquelme,MEI,32,74,,Kåhed,MDPDME,32,7070,,Aldair Perleche,ZAG,26,68,
a,Camilo Cándido,MEI,26,74,,Damián Musto,VOL,34,74,,Richard Ortiz,VOL,31,75,,Rafael Carrascal,VOL,29,74,,Diego Viera,ZAG,30,75,,César Fuentes,LD,28,74,,Gonzalo Espinoza,VOL,31,74,,Felipe Gutiérrez,MEI,31,75,,Moisés Corozo,ZAG,29,6970,,Pedro Velasco,LD,28,74,,Alexis Zapata,MEI,26,74,,Anderson Contreras,MEIMC,20,6575,,Oscar Oyanadir,VOL,21,6767,,Alejandro Hohberg,MEI,30,74,,Erwin Saavedra,LDMCMEI,25,6973,,Luis Álvarez,VOL,31,67,
a,Brian Ocampo,MEI,22,74,,Agustín Álvarez Martínez,ATA,20,74,,Sérgio Otálvaro,LD,35,75,,Alan Rodríguez,LE,21,74,,Daniel Bocanegra,ZAG,34,75,,Gabriel Suazo,LE,24,74,,Yonathan Andía,VOL,29,74,,Luciano Aued,MEI,34,75,,Pedro Perlaza,LDMD,30,6969,,Mario Pineida,VOL,29,74,,Facundo Barceló,ATA,28,74,,Diego Osio,ZAG,24,6572,,Adolfo Salvamanos,VOLLE,29,6767,,Írven Avila,ATA,31,74,,Rubén Cordano,GOL,23,6876,,Adrián Ugarriza,MEI,25,66,
a,Nicolás Marichal,ZAG,20,72,,Agustín Canobbio,ATA,23,74,,Agustín Ale,ZAG,26,74,,Beto Espínola,LD,30,74,,Iván Piris,VOL,32,75,,Miiko Albornoz,VOL,31,74,,Marcelo Cañete,MEI,31,74,,José Fuenzalida,MEI,36,75,,Billy Arce,MEIME,23,6875,,Sergio López,MEI,33,74,,Marlon Mejía,ZAG,27,72,,Rosmel Villanueva,ZAG,28,6566,,Salvador Higuerrez,ATA,37,6767,,Alejandro Duarte,GOL,27,72,,Jairo Quinteros,ZAG,20,6876,,Abdiel Ayarza,VOL,29,65,
a,Mathías Laborda,ZAG,22,72,,Facundo Torres,ATA,21,74,,Víctor Salazar,LD,28,74,,Claudio Aquino,ATA,30,74,,Bautista Merlini,MEI,26,75,,Christian Santos,ATA,33,74,,Pablo Aránguiz,MEI,24,74,,Fernando Zampedri,ATA,33,75,,Jordy Alcívar,VOLMC,22,6875,,Byron Castillo,MEI,23,74,,Ángel Gracia,LE,32,72,,Cristian Flores,GOL,30,6565,,Giakumis Gutierrez,MDME,29,6666,,Gianfranco Chávez,ZAG,23,72,,Juan José Orellana,LE,23,6774,,Kevin Sandoval,MEI,24,65,
a,Ángelo Gabrielli,LD,29,72,,Ariel Nahuelpán,ATA,34,72,,Edgardo Orzusa,VOL,31,74,,Enzo Giménez,MEI,23,73,,Sebastián Ferreira,ATA,23,75,,Marco Bolados,ATA,25,74,,Gabriel Torres,ATA,33,74,,Germán Lanaro,ZAG,35,74,,Jhojan Julio,MEMEIPE,23,6874,,Gabriel Cortez,MEI,26,74,,Dixon Arroyo,VOL,29,72,,Luis Ramírez,MC,23,6471,,Angelo Baredia,ZAGLD,29,6666,,Johan Madrid,ZAG,25,72,,Javier Rojas,GOL,25,6773,,Edison Kuncho,MEI,25,65,
a,Christian Almeida,LE,32,72,,Rubén Bentancourt,ATA,28,71,,Iván Torres,MEI,30,74,,Rodrigo Muñoz,GOL,39,72,,Roque Santa Cruz,ATA,40,75,,Matías Zaldivia,ZAG,31,72,,Luis Casanova,ZAG,29,72,,Branco Ampuero,ZAG,28,74,,Juan Kaprof,ATASAMEI,26,6870,,Carlos Garcés,ATA,31,74,,Bryan Carabalí,LD,24,72,,Sandro Notaroberto,LE,23,6169,,Simon Altamiras,MEMEIMC,29,6565,,Jhilmar Lora,LD,21,72,,Hernán Rodríguez,MCMEVOL,25,6772,,Oshiro Takeuchi,ATA,27,65,
a,Facundo Píriz,VOL,31,72,,Matías de Los Santos,VOL,23,70,,Marcelo Estigarribia,MEI,34,74,,Alexis Duarte,ZAG,21,72,,Óscar Cardozo,ATA,38,75,,Gabriel Costa,MEI,31,72,,Luis del Pino Mago,LE,27,72,,Ignacio Saavedra,VOL,23,74,,Christian Cruz,LEME,29,6868,,Gonzalo Mastriani,ATA,28,74,,Sebastián Rodríguez,MEI,29,72,,Javier Maldonado,ZAG,27,6163,,Rodrigo Bistama,ZAGLE,25,6565,,Martin Tavara,VOL,22,72,,Leonel Justiniano,VOLMCMD,29,6666,,Juniors Barbieri,GOL,25,62,
a,Rafael García,VOL,33,72,,Juan Acosta,LD,28,70,,William Mendieta,MEI,33,74,,Carlos Rolón,ZAG,29,72,,Carlos Servín,GOL,34,74,,Javier Parraguez,ATA,32,72,,Camilo Moya,VOL,23,72,,Juan Fuentes,VOL,26,74,,Adolfo Muñoz,MEMDPD,24,6773,,Emmanuel Martínez,MEI,27,74,,Alejandro Cabeza,ATA,24,72,,Luis Casiani,LD,19,5975,,Alonso Candales,ZAG,21,6565,,Renato Solís,GOL,23,70,,Kevin Salvatierra,MC,20,6577,,Luiggi Villafuerte,MEI,21,52,
a,Gonzalo Vega,MEI,29,72,,Ezequiel Busquets,LD,21,70,,Brian Montenegro,ATA,28,74,,Mateus Gonçalves,MEI,27,72,,Leonel Vangioni,LE,34,74,,Jeyson Rojas,ZAG,19,70,,Thomas Rodríguez,MEI,25,72,,Marcelino Núñez,MEI,21,74,,Kevin Mercado,MEPEPD,26,6768,,Cristian Penilla,ATA,29,74,,Lass Bangoura,MEI,29,72,,Luis David González,MEI,22,5969,,Allan Fuentoza,LE,25,6464,,Alejandro González,ZAG,33,70,,Diago Giménez,ZAGVOL,24,6573,,Carlos Ruiz,LD,22,60,
a,Thiago Vecino,ATA,22,72,,Juan Ramos,MEI,25,70,,Jorge Recalde,MEI,29,74,,Luis Fariña,MEI,30,72,,Ramón Martínez,VOL,25,74,,Iván Morales,ATA,22,70,,Ronnie Fernández,MEI,30,72,,Juan Leiva,MEI,28,74,,Luis Caicedo,ZAG,29,6667,,Darío Aimar,ZAG,27,72,,Adrián Bone,GOL,33,70,,Junior Moreno,ZAGVOL,21,5872,,Oslimg Mora,PDMD,21,6376,,Carlos Cabello,VOL,24,70,,Víctor Enol,ATA,24,6571,,Juan Villanueva,LE,30,64,
a,Martín Rodríguez,GOL,32,70,,Franco Martínez,MEI,23,69,,Néstor Camacho,MEI,34,74,,Robert Morales,ATA,22,72,,Ivan Ramírez,VOL,27,74,,Pablo Solari,ATA,20,69,,José María Carrasco,LE,24,70,,Diego Valencia,ATA,21,74,,Luis Ayala,LEME,28,6666,,Matías Oyola,VOL,39,72,,Óscar Bagüí,VOL,39,70,,Diego Castillo,VOL,23,5868,,Steven Rivadeneyra,GOL,26,6366,,Jesús Castillo,VOL,20,70,,Leonardo Vaca,MDPDATA,26,6566,,,,,0,
a,Mario Risso,ZAG,33,70,,Neto Volpi,GOL,29,68,,Gastón Olveira,GOL,28,72,,Miguel Martínez,GOL,23,70,,Mathías Espinoza,MEI,24,74,,Jorge Araya,VOL,25,68,,Diego Carrasco,LE,26,70,,Diego Buonanotte,MEI,33,74,,José Quintero,LDMD,31,6565,,Nixon Molina,VOL,28,72,,Luca Sosa,LE,27,70,,Osei Bonsu,PDMD,20,5771,,Kluiverth Aguilar,LD,17,5974,,Jesús Pretell,VOL,22,68,,Luis Gutiérrez,ZAGLE,36,6565,,,,,0,
a,Joaquín Trasante,VOL,22,70,,Valentín Rodríguez,LE,20,68,,Jordán Santacruz,VOL,26,72,,Pablo Adorno,ZAG,25,70,,Rodrigo Bogarín,MEI,24,74,,Ignacio Jara,ATA,24,68,,Augusto Barrios,ZAG,31,70,,Gastón Lezcano,ATA,35,74,,Djorkaeff Reasco,ATA,22,6472,,Michael Hoyos,MEI,30,72,,Nelson Solíz,VOL,28,70,,Jorge Echeverría,MEIMD,21,5768,,Miguel Ángel Cornejo,MEIVOLMC,21,5868,,Jhon Marchán,MEI,23,68,,Roberto Carlos Fernández,LEME,22,6475,,,,,0,
a,Pablo García,MEI,22,70,,Ignacio Laquintana,MEI,22,68,,Rolando Ortiz,VOL,19,72,,Alan Benítez,LD,27,70,,Antonio Bareiro,MEI,32,74,,Vicente Pizarro,VOL,19,67,,Sebastián Galani,VOL,24,70,,Sebastián Pérez,GOL,31,72,,Andersson Ordóñez,ZAG,27,6466,,Gabriel Marques,VOL,33,70,,Aníbal Leguizamón,ZAG,30,69,,Edgar José Silva,MEI,23,5766,,Ruben Ahumera,GOL,33,5858,,Cristopher Olivares,MEI,22,68,,César Menacho,MDPD,22,6373,,,,,0,
a,Alfonso Trezza,MEI,22,70,,Thiago Cardozo,GOL,25,67,,Ramón Sosa,MEI,22,72,,Adrián Martínez,MEI,29,70,,Iván Franco,ATA,21,74,,Omar Carabalí,GOL,24,65,,Mario Sandoval,MEI,30,70,,Tomás Astaburuaga,ZAG,25,72,,José Cárdenas,GOL,26,6366,,Adonis Preciado,MEI,24,70,,Jefferson Caicedo,VOL,27,69,,Jairo Otero,ATA,27,5758,,Gonzalo Sánchez,ATA,20,5668,,Percy Liza,MEI,21,68,,Bruno Miranda,MEPEATA,23,6365,,,,,0,
a,Guillermo May,ATA,23,69,,Agustin Álvarez,VOL,20,67,,Walter González,ATA,26,72,,Fernando Romero,ATA,21,70,,Cristian Báez,ZAG,31,72,,Daniel Gutiérrez,ZAG,18,65,,Felipe Saavedra,MEI,25,70,,Gonzalo Tapia,MEI,19,68,,Sebastián González,MCMEIME,18,6174,,Jonathan Perlaza,MEI,24,68,,Joao Rojas,MEI,24,69,,Renné Rivas,LE,18,5674,,Carlos Montoya,ZAG,18,5570,,Percy Prado,VOL,25,67,,John García,MEIMDME,21,6272,,,,,0,
a,Joaquín Sosa,ZAG,20,68,,Agustín da Silveira,ZAG,21,65,,Luis Cáceres,ZAG,25,70,,Luis Vargas,LE,21,69,,Luis Cardozo,ZAG,33,72,,Carlos Villanueva,MEI,22,65,,Anderson Contreras,MEI,20,69,,Clemente Montes,MEI,20,68,,Frank Ventura,LD,21,6170,,Michael Carcelén,VOL,24,67,,Bryan Sánchez,ATA,28,68,,Julio César da Silva,ZAGLE,19,5670,,,,,,,João Grimaldo,MEI,18,67,,Carlos Adorno,GOL,20,6075,,,,,0,
a,Emiliano Villar,MEI,22,68,,Kevin Lewis,VOL,23,65,,Hugo Quintana,VOL,20,69,,Rodrigo Delvalle,ZAG,20,65,,Hugo Martínez,VOL,21,72,,Bruno Gutiérrez,ZAG,19,62,,Nahuel Luján,MEI,26,69,,David Henríquez,ATA,22,68,,Joseph Espinoza,VOLMC,21,6070,,Bryan Caicedo,ZAG,21,65,,Carlos Orejuela,ATA,28,68,,Enmanuel Moreno,ATA,20,5669,,,,,,,Emile Franco,GOL,21,65,,Gabriel Villamíl,MCMEI,20,6070,,,,,0,
a,Santiago Cartagena,VOL,19,65,,Denis Olivera,MEI,22,65,,Marino Arzamendia,GOL,23,68,,Leonardo Rivas,LE,20,65,,Marcelo Díaz,VOL,35,72,,Bryan Soto,VOL,20,62,,Simón Contreras,ATA,19,68,,Carlos Salomón,ZAG,21,65,,Nilson Angulo,MEIATAPD,18,5974,,Carlos Montaño,VOL,22,65,,Wilmer Godoy,VOL,28,67,,Wilbert Hernández,GOL,20,5570,,,,,,,Cristian Carbajal,ZAG,22,65,,Luis Ángel Flores,MD,19,5976,,,,,0,
