a,Huracán,,,,,Godoy Cruz,,,,,Atlético Tucumán,,,,,Gimnasia y Esgrima,,,,,Unión de Santa Fe,,,,,Platense,,,,,Aldosivi,,,,,Central Córdoba,,,,,Patronato,,,,,
a,M. Díaz,GOL,35,75,,M. Ojeda,MD ME,22,75,,E. Isnaldo,ME,27,72,,R. Rey,GOL,30,72,,S. Moyano,GOL,30,73,,G. Bergessio,ATA,36,74,,J. Devecchi,GOL,25,73,,J. Soraire,MC,32,71,,C. Quintana,ZAG,33,73,,
a,F. Cristaldo,MC MD,24,73,,N. Acevedo,MC VOL,32,72,,G. Acosta,MC,32,71,,M. Melluso,LE LE,23,72,,E. Brítez,ZAG LE LD,29,72,,I. Gómez,VOL MC,24,71,,M. Pisano,PD MEI MD,29,72,,C. Rigamonti,GOL,34,71,,J. Herrera,ATA PE,29,70,,
a,J. Galván,ZAG,29,70,,J. Espínola,GOL,26,71,,R. Carrera,ME MD,27,71,,B. Alemán,MEI MD ME,31,72,,E. Cañete,MC,22,71,,H. Canteros,MEI MC,32,71,,S. Silva,ATA,40,71,,J. Bay,LE LE,28,70,,G. Gudiño,MD,28,69,,
a,L. Vera,MC MEI,24,69,,E. Bullaude,MEI MC MD,20,71,,B. Bianchi,ZAG,32,71,,C. Tarragona,ATA,30,72,,D. Polenta,ZAG LE,29,71,,N. Bertolo,ME PE MD,35,70,,M. Cauteruccio,ATA MD,34,70,,C. Toselli,GOL,33,70,,L. Barrios,ATA,36,69,,
a,M. Cóccaro,ATA,23,69,,G. Ortíz,ZAG,28,71,,Y. Cabral,ZAG,29,70,,E. Cecchini,VOL MC,24,71,,F. Troyansky,ATA ME,24,71,,M. Bogado,VOL MC,36,69,,M. Meli,MC MD,29,69,,F. Pereyra,ZAG,31,70,,M. Pardo,ME MD,25,68,,
a,J. Candia,PD ATA PE,26,68,,G. Alanís,ME LE,27,71,,C. Menéndez,ATA,33,69,,F. Gerometta,LD,21,69,,J. Portillo,ZAG MC VOL,21,70,,J. De Olivera,GOL,38,69,,F. Cerro,MC VOL,33,69,,J. Leguizamón,ZAG,29,69,,N. Castro,ME MD,30,67,,
a,N. Cordero,ATA PD,22,68,,N. Breitenbruch,ZAG LD,25,69,,L. Heredia,ATA ME,25,69,,N. Colazo,LE ME MC,30,69,,L. Ramos,ATA,31,70,,J. Pereyra Díaz,MD ME ATA,30,69,,T. Martínez,MD MEI MC,26,68,,S. Ribas,ATA,33,69,,F. Altamirano,GOL,25,67,,
a,J. Garro,PE ATA PD,28,68,,T. Badaloni,ATA,21,69,,R. Tesuri,MD,25,69,,L. Morales,ZAG LD,30,68,,C. Corvalán,LE ZAG LE,32,70,,B. Mansilla,ATA ME PE,24,68,,E. Iñíguez,LD LE,24,68,,C. Riaño,ATA,32,68,,D. Garcia,ME PE MEI,24,67,,
a,I. Quílez,LD LD MD,31,67,,M. Ramírez,ME ATA,22,68,,N. Campisi,GOL,24,69,,G. Guiffrey,ZAG LE,23,68,,F. Calderón,ZAG,23,70,,I. Schor,ME PE MD,20,68,,F. Milo,LE ME ZAG,29,68,,A. Martínez,ME MD,23,67,,F. Cobos,LE,28,66,,
a,L. Merolla,ZAG,26,67,,L. González,ZAG LE,27,68,,C. Rius,MD,32,69,,M. Coronel,ZAG,32,68,,F. Vera,LD LD,23,69,,G. Suso,ZAG,30,68,,E. Mosquera,ME,20,67,,F. Sbuttoni,ZAG,32,67,,J. Valdez Chamorro,MC MEI,27,66,,
