,Birmigham,,,,,Blackburn,,,,,Burnley,,,,,Brighton,,,,,Derby Count,,,,,Fulham,,,,,Hull City,,,,,Middlesbrough,,,,,Norwich,,,,,Nottingham Forest,,,,,QPR,,,,,Reading,,,,,Sheffield United,,,,,Stoke City,,,,,Swansea,,,,,Watford,,,,
a,Troy Deeney,ATA,33,7373,,Ben Brereton Díaz,ATAPEPD,22,7381,,Nick Pope,GOL,29,8282,,Cucurella,ADEMELE,23,8187,,Krystian Bielik,VOLZAG,23,7280,,Harry Wilson,MDPDMEI,24,7681,,George Honeyman,MEIMC,27,7071,,Andraž ŠporarL,ATA,27,7475,,Tim Krul,GOL,33,7777,,Philip KruthL,PDPEMC,27,7575,,Rob Dickie,ZAG,25,7377,,John Swift,MEIMC,26,7578,,Sander Berge,VOLMC,23,7682,,Abdallah SimaL,MDATA,20,7386,,Matt Grimes,MCVOL,26,7476,,Moussa Sissoko,VOLMC,32,7878,
a,Maxime Colin,ADDLD,30,7373,,Thomas Kaminski,GOL,29,7374,,James Tarkowski,ZAG,29,8081,,Adžić Bissouma,VOLMC,25,7984,,Nathan Byrne,LDADD,29,7171,,Aleksandar Mitrović,ATA,27,7677,,Keane Lewis-Potter,MEPE,20,6979,,Dael Fry,ZAG,24,7379,,Mathias Normann,VOLMC,25,7682,,Rodrigo Ely,ZAG,28,7474,,Chris Willock,MDATA,23,7277,,Baba RahmanL,LEADE,27,7374,,Jack O'Connell,ZAG,27,7578,,Nick Powell,MEIMC,27,7374,,Ben Cabango,ZAG,21,7282,,Ben Foster,GOL,38,7878,
a,Kristian Pedersen,ZAGLEADE,27,7273,,Bradley Dack,MEIMC,27,7374,,Ben Mee,ZAG,32,7979,,Lewis Dunk,ZAG,30,7979,,Graeme Shinnie,VOLMC,30,7171,,Paulo Gazzaniga,GOL,29,7676,,Mallik Wilks,MDPDATA,23,6977,,Martín Payero,MC,23,7279,,Milot Rashica,SAMEMD,25,7681,,Brice Samba,GOL,27,7376,,Seny Dieng,GOL,27,7275,,Andy MJ,LDADDZAG,30,7373,,John Egan,ZAG,29,7576,,Harry Souttar,ZAG,23,7279,,Ryan Manning,ADELEZAG,25,7276,,Ismaïla Sarr,MDPDATA,23,7785,
a,Jérémie Bela,MEADEMD,28,7272,,Lewis Travis,VOLMC,24,7280,,Ashley Westwood,VOLMC,31,7878,,Leandro Trossard,MEATAMEI,27,7878,,Tom Lawrence,MEATAMEI,27,7171,,Harrison Reed,VOLMC,26,7579,,Greg Docherty,VOLMC,25,6973,,Paddy McNair,ZAGVOLMC,26,7277,,Teemu Pukki,ATA,31,7676,,Max LoweL,ADELE,24,7279,,Stefan Johansen,MCVOL,30,7272,,Lucas João,ATA,28,7373,,Robin Olsen,GOL,31,7575,,Romaine SawyersL,MCVOL,30,7272,,Jake Bidwell,ADELE,28,7272,,Juraj KuckaL,MCVOL,34,7777,
a,Iván Sánchez,MDMEMC,29,7272,,Ryan Nyambe,LDADD,24,7278,,Chris Wood,ATA,30,7878,,Robert Sanchéz,GOL,24,7783,,Max Bird,VOLMC,21,7078,,Kenny Tete,LD,26,7578,,Callum Elder,LEZAG,26,6971,,Marcus Tavernier,MDMEIMC,22,7180,,Pierre Lees-Melou,MC,28,7676,,Joe Worrall,ZAG,24,7278,,Andre GrayL,ATA,30,7272,,Ovie Ejaria,MEMCMEI,24,7277,,Conor HourihaneL,MCVOL,30,7474,,Mario Vrančić,MEIMCVOL,32,7272,,Jamie Paterson,PEMCMEI,30,7272,,Ozan TufanL,MCVOLMEI,26,7679,
a,Harlee Dean,ZAG,30,7171,,Darragh Lenihan,ZAG,27,7275,,Dwight McNeil,MEMD,22,7783,,Neal Maupay,ATA,25,7782,,Kelle Roos,GOL,29,7070,,Tom Cairney,MEIMC,30,7575,,Jacob Greaves,ZAG,21,6877,,James Léa SilikiL,MCME,25,7176,,Ozan KabakL,ZAG,21,7584,,Ethan Horvath,GOL,26,7174,,Ilias Chair,MEIMC,24,7177,,Mendez-Laing Méïté,ATAMD,25,7276,,Chris Basham,ZAG,33,7474,,Sam Clucas,MCVOL,31,7272,,Jay Fulton,VOLMC,27,7173,,Juan Camilo Hernández,ATAMDME,22,7581,
a,Neil Etheridge,GOL,31,7171,,Joe Rothwell,MCMEI,26,7172,,Maxwel Cornet,MELESA,25,7780,,Joël Veltman,ADDZAGLD,29,7777,,Curtis Davies,ZAG,36,7070,,Tosin Adarabioyo,ZAG,24,7482,,Lewie Coyle,LDMD,26,6871,,Darnell Fisher,ADDLD,27,7172,,Max Aarons,LD,21,7583,,Brennan Johnson,PDPEMEI,20,7082,,Lyndon Dykes,ATA,26,7173,,Junior Hoilett,MEMDATA,31,7272,,Ben DaviesL,ZAG,26,7376,,Adam Davies,GOL,29,7173,,Ryan Bennett,ZAG,31,7171,,Emmanuel Dennis,ATAPEME,24,7580,
a,Tahith ChongL,MEMEIMD,22,7080,,Daniel Ayala,ZAG,31,7171,,Josh Brownhill,MCMD,26,7679,,Pascal Groß,MCMDMEI,30,7777,,Jason Knight,MCMD,20,6978,,Marek Rodák,GOL,25,7480,,Josh Magennis,ATA,31,6868,,Onel HernándezL,MEADE,28,7171,,Todd Cantwell,ME,23,7582,,Ryan Arboleda,VOLMC,24,7078,,McMann Barbet,ZAG,28,7172,,Andy Rinomhota,VOLMCMD,24,7176,,Enda Stevens,LEADE,31,7373,,Tommy Smith,ADDLD,29,7171,,Ethan LairdL,ADD,20,7082,,Kiko Femenía,LDLE,30,7575,
a,Riley McGree,MCMDMEI,23,7077,,John Buckley,MCMEI,22,7079,,Matthew Lowton,LD,32,7676,,Adam Webster,ZAG,26,7680,,Kamil Jóźwiak,MEMDADD,23,6976,,Nathaniel Chalobah,VOLMC,27,7476,,Di'Shon BernardL,ZAGLD,21,6780,,Sammy Ameobi,MDME,29,7171,,Grant Hanley,ZAG,30,7575,,Scott McKenna,ZAG,25,7077,,Charlie Austin,ATA,32,7171,,Josh Laurent,VOLMCZAG,26,7174,,Oliver Norwood,VOLMC,30,7373,,Tyrese Campbell,ATAMD,21,7082,,Joël Piroe,ATA,22,7078,,Joshua King,ATAME,29,7575,
