,Porto,,,,,Benfica,,,,,Sporting,,,,,Ajax,,,,,Feyenoord,,,,,PSV,,,,,Celtic,,,,,Basel,,,,,Rapid Viena,,,,,Rosemborg,,,,,Copenhague,,,,,RB Salzburg,,,,,Malmo,,,,,Glasgow Rangers,,,,,Braga,,,,,Vitória Guimarães,,,
a,Luis Díaz,ME,24,8286,,Grimaldo,LEMEADE,26,8285,,Sebastián Coates,ZAG,31,8383,,Dušan Tadić,PESA,33,8484,,Justin Bijlow,GOL,23,7886,,Mario Götze,MEIMC,29,8282,,Callum McGregor,VOLMC,28,7777,,Arthur Cabral,ATA,23,7785,,Maximilian Ullmann,LEADEME,25,7377,,André Hansen,GOL,32,7474,,Gani Ahmed,VOLMC,33,7676,,Rasmus Kristensen,LD,24,7681,,Anders Christiansen,MCMEI,31,7575,,James Tavernier,LD,30,7777,,Matheus,GOL,29,7981,,Quaresma,PDPE,38,7777
a,Pepe,ZAG,38,8282,,Rafa,MDSAME,28,8282,,Palhinha,VOLMC,26,8287,,André Onana,GOL,25,8386,,Luis Sinisterra,PEPD,22,7884,,Ibrahim Sangaré,VOLMC,24,7985,,Kyogo Furuhashi,ATAPE,26,7578,,Heinz Lindner,GOL,31,7575,,Ercan Kara,ATA,25,7377,,Markus Henriksen,VOLMC,29,7373,,Rasmus Falk,MCMEMD,29,7575,,José David Junuzović,MCVOLMEI,34,7676,,Anel Ahmedhodžić,ZAG,22,7383,,Ryan Kent,SA,25,7681,,Ricardo Horta,SAATAPE,27,7980,,Marcus Edwards,PDPE,23,7683
a,Otávio,MDMEMC,26,8182,,Odisseas Vlachodimos,GOL,27,8183,,Pedro Gonçalves,PDMC,23,8188,,Sébastien Haller,ATA,27,8283,,Marcos Senesi,ZAG,24,7882,,Cody Gakpo,MEATA,22,7985,,Christopher Jullien,ZAG,28,7577,,Jordi Quintillà,MCVOL,28,7575,,Taxiarchis Fountas,MEIATAME,26,7376,,Per Ciljan Skjelbred,VOLMC,34,7272,,Kevin Diks,LD,25,7376,,Mohamed Camara,VOLMC,21,7483,,Antonio ČolakL,ATA,28,7373,,Alfredo Morelos,ATA,25,7681,,Sequeira,LEZAG,31,7878,,Rochinha,PE,26,7677
a,Jesús Corona,MDLDPD,28,8181,,Nicolás Otamendi,ZAG,33,8181,,Adán,GOL,34,8181,,Daley Blind,LEZAG,31,8282,,Tyrell Malacia,LE,22,7782,,Philipp Max,LE,28,7979,,Joe Hart,GOL,34,7575,,Pajtim Kasami,MCVOLMEI,29,7474,,Filip Stojković,LDZAGADD,28,7373,,Stefano Vecchia,PEMEI,26,7171,,Karl-Johan Johnsson,GOL,31,7373,,Maximilian Wöber,ZAG,23,7480,,Ola Toivonen,MEIATA,35,7373,,Glen Kamara,MC,26,7578,,Ali Musrati,VOLMC,25,7781,,André André,MC,32,7575
a,Sérgio Oliveira,MC,29,8080,,Jan Vertonghen,ZAG,34,8181,,Pedro PorroL,ADDMD,22,8087,,Steven Berghuis,MEIPD,30,8282,,Gernot Trauner,ZAG,29,7777,,Eran Hondermarck,ATA,34,7979,,JotaL,PE,22,7484,,Tomás TavaresL,LDLE,20,7382,,Richard Strebinger,GOL,28,7274,,Vebjørn Hoff,MC,25,6973,,Jonas Wind,ATASA,22,7278,,Andreas Ulmer,LE,36,7474,,Sergio Peña,MEIMC,26,7275,,Connor Goldson,ZAG,29,7576,,Galeno,MEPD,24,7781,,Falaye Sacko,LD,26,7376
a,Agustín Marchesín,GOL,33,8080,,Everton,MEMD,25,8083,,Karagöz Feddal,ZAG,31,8080,,Nicolás Tagliafico,LE,29,8282,,Orkun Kökçü,MCMEI,20,7684,,Noni Madueke,MDATA,19,7788,,David Turnbull,MCMEI,22,7482,,Raoul Petretta,LE,24,7279,,Thorsten Schick,MDLDME,31,7272,,Alexander Tettey,VOL,35,6969,,Luther Singh,PEPD,24,7275,,Karim Adeyemi,ATA,19,7386,,Johan Dahlin,GOL,35,7272,,Allan McGregor,GOL,39,7575,,Paulo Oliveira,ZAG,29,7677,,Rafa Soares,LE,26,7376
a,Chancel Mbemba,ZAG,27,7982,,Pizzi,MCMD,32,8080,,Pablo SarabiaL,PDMEIPE,29,8080,,Antony,PD,21,8189,,Jens Toornstra,MCVOLMEI,32,7676,,Ritsu Doan,MDMEI,23,7783,,Georgios Giakoumakis,ATA,27,7475,,Fabian Frei,VOL,32,7272,,Marco Grüll,MEATAMD,23,7076,,Carlo Holse,PDMC,22,6876,,Davit Khocholava,ZAG,28,7273,,Sekou Koita,ATA,22,7382,,Veljko Birmančević,PE,23,7180,,Borna Barišić,LE,29,7575,,Vítor Tormena,ZAG,25,7578,,Bruno Varela,GOL,27,7375
a,Mateus Uribe,MCVOL,30,7979,,Lucas Veríssimo,ZAG,26,7984,,Paulinho,ATA,29,7979,,Noussair Mazraoui,LD,24,8186,,Lutsharel Geertruida,LDZAG,21,7583,,ViníciusL,ATA,26,7780,,Tom Rogić,MCMEI,29,7474,,Valentin Stocker,MEMDMEI,32,7272,,Christoph Knasmüllner,MEIATA,29,7070,,Hólmar Örn Eyjólfsson,ZAG,31,6868,,Kamil Wilczek,ATA,33,7171,,Albert Vallci,LDZAGLE,26,7376,,Niklas Moisander,ZAG,36,7171,,Steven Davis,MC,36,7575,,Lucas Piazón,PDMEISA,27,7575,,Rúben Lameiras,PDPE,26,7374
a,Mehdi Taremi,ATASA,29,7979,,Julian Weigl,MCVOL,26,7982,,Gonçalo Inácio,ZAG,20,7887,,Lisandro Martínez,ZAGLEVOL,23,8086,,Bryan Linssen,ATAPE,31,7575,,Olivier Boscagli,ZAGLEVOL,24,7681,,James Forrest,PDPE,30,7474,,Andy PelmardL,ZAGLD,21,7183,,Kelvin Arase,MDME,22,6976,,Even Hovland,ZAG,32,6868,,Kamil Grabara,GOL,22,7076,,Bernardo,LEADEZAG,26,7375,,Martin Olsson,LEZAG,33,7171,,Ianis Hagi,SA,23,7482,,ChiquinhoL,MEI,26,7477,,Toni Borevković,ZAG,24,7280
a,Marcano,ZAG,34,7777,,Haris Seferović,ATA,29,7878,,Matheus Nunes,MC,23,7886,,Edson Carlos Martín,VOLZAG,24,7984,,Guus TilL,MEI,23,7479,,Bruma,MEMD,27,7676,,Josip Juranović,LDLE,26,7376,,Eray Cömert,ZAG,23,7182,,Dejan Petrovič,MCVOL,23,6975,,Emil Ceïde,PEPD,20,6779,,Jens Stage,MCPD,25,7073,,Noah Okafor,ATAMEIME,21,7281,,Eric Larsson,LD,30,6969,,Joe Aribo,MC,25,7478,,David Carmo,ZAG,22,7383,,Tiago Silva,MCMEI,28,7272
a,Diogo Costa,GOL,22,7686,,Valentino LazaroL,MDADDLD,25,7780,,Nuno Santos,PEPD,26,7879,,David Neres,PD,24,7983,,Fredrik Aursnes,VOLMC,26,7377,,Joël Drommel,GOL,25,7581,,Liel Abada,PD,20,7280,,Edon Pršo,MDME,22,7180,,Maximilian Hofmann,ZAG,28,6971,,Adrian Nilsen Pereira,LE,22,6775,,Pep Biel,MEIPD,25,7073,,Oumar Solet,ZAG,21,7180,,Oscar Lewicki,VOLMC,29,6969,,Filip Helander,ZAG,28,7476,,Abel Ruiz,ATA,21,7382,,Matous Trmal,GOL,23,7181
a,Toni Martínez,ATA,24,7682,,Roman JiMin,ATA,26,7780,,Luís Neto,ZAG,33,7878,,Davy Klaassen,MEIMC,28,7979,,Cyriel DessersL,ATA,27,7374,,Abdellaoui MvogoL,GOL,27,7578,,Greg Taylor,LEADE,24,7278,,Taulant Xhaka,VOL,30,7171,,Srđan Grahovac,VOLMC,29,6969,,Dino Islamović,ATA,27,6768,,Nicolai Boilesen,ZAGLE,29,7070,,Brenden Aaronson,MEIMEMC,21,7180,,Søren Rieks,PE,34,6969,,Leon Balogun,ZAG,33,7474,,Diogo LeiteL,ZAG,22,7381,,André Almeida,MC,21,7180
