,Paulista Jundiaí,,,,,,,São Bento,,,,,,,Volta Redonda,,,,,,,Bangu,,,,,,,Madureira,,,,,,,Gama,,,,,,,Íbis,,,,,,,Joinville,,,,,,,Campinense,,,,,,,Ríver-PI,,,,,,,São Raimundo,,,,,
a,Bruno,GOL,30,67,Brazil,wiki/missing_player.jpg,,Marcão,GOL,30,67,Brazil,wiki/missing_player.jpg,,Gerson Dida,GOL,30,67,Brazil,wiki/missing_player.jpg,,Isaac,GOL,30,67,Brazil,wiki/missing_player.jpg,,Geder,GOL,30,67,Brazil,wiki/missing_player.jpg,,Michel Dias,GOL,30,67,Brazil,wiki/missing_player.jpg,,Frango,GOL,30,67,Brazil,wiki/missing_player.jpg,,Domingues,GOL,30,67,Brazil,wiki/missing_player.jpg,,Filipe Ramon Silva Lucena,GOL,30,67,Brazil,wiki/missing_player.jpg,,João Guizardi,GOL,30,67,Brazil,wiki/missing_player.jpg,,Clayton Robson da Silva,GOL,30,67,Brazil,wiki/missing_player.jpg
a,Jean,GOL,26,65,Brazil,wiki/missing_player.jpg,,Guilherme Cavalcante,GOL,26,65,Brazil,wiki/missing_player.jpg,,Vinícius Dias,GOL,26,65,Brazil,wiki/missing_player.jpg,,Gabriel Barboza,GOL,26,65,Brazil,wiki/missing_player.jpg,,Zé Carlos,GOL,26,65,Brazil,wiki/missing_player.jpg,,Dudu Gago,GOL,26,65,Brazil,wiki/missing_player.jpg,,Mão de Alface,GOL,26,65,Brazil,wiki/missing_player.jpg,,Douglas Silva,GOL,26,65,Brazil,wiki/missing_player.jpg,,André Mascena,GOL,26,65,Brazil,wiki/missing_player.jpg,,Felipe Vezaro,GOL,26,65,Brazil,wiki/missing_player.jpg,,Siri,GOL,26,65,Brazil,wiki/missing_player.jpg
a,Nathan,LE,29,63,Brazil,wiki/missing_player.jpg,,Dirceu,LE,29,63,Brazil,wiki/missing_player.jpg,,Avelino,LE,29,63,Brazil,wiki/missing_player.jpg,,Eduardo Brito,LE,29,63,Brazil,wiki/missing_player.jpg,,Pessanha,LE,29,63,Brazil,wiki/missing_player.jpg,,Luiz Felipe de Assis,LE,29,63,Brazil,wiki/missing_player.jpg,,Avenida,LE,29,63,Brazil,wiki/missing_player.jpg,,Arnaldo,LE,29,63,Brazil,wiki/missing_player.jpg,,Cleiton,LE,29,63,Brazil,wiki/missing_player.jpg,,Alex Garcia,LE,29,63,Brazil,wiki/missing_player.jpg,,Welington Boi,LE,29,63,Brazil,wiki/missing_player.jpg
a,Jandielson,LE,21,64,Brazil,wiki/missing_player.jpg,,Erick Ferreira,LE,21,64,Brazil,wiki/missing_player.jpg,,Eduardo Grasson,LE,21,64,Brazil,wiki/missing_player.jpg,,Léo Griggio,LE,21,64,Brazil,wiki/missing_player.jpg,,Bill,LE,21,64,Brazil,wiki/missing_player.jpg,,Jesiel,LE,21,64,Brazil,wiki/missing_player.jpg,,Curupira,LE,21,64,Brazil,wiki/missing_player.jpg,,Guti,LE,21,64,Brazil,wiki/missing_player.jpg,,Christian,LE,21,64,Brazil,wiki/missing_player.jpg,,Danilo,LE,21,64,Brazil,wiki/missing_player.jpg,,Vicente Thomaz,LE,21,64,Brazil,wiki/missing_player.jpg
a,Fabrício Caruaru,LD,33,68,Brazil,wiki/missing_player.jpg,,Gabriel Inocencio,LD,33,68,Brazil,wiki/missing_player.jpg,,Thomás,LD,33,68,Brazil,wiki/missing_player.jpg,,Israel,LD,33,68,Brazil,wiki/missing_player.jpg,,Zeca,LD,33,68,Brazil,wiki/missing_player.jpg,,Marcos Bahia,LD,33,68,Brazil,wiki/missing_player.jpg,,Mula,LD,33,68,Brazil,wiki/missing_player.jpg,,Rafael Donato,LD,33,68,Brazil,wiki/missing_player.jpg,,Vinicius Santana,LD,33,68,Brazil,wiki/missing_player.jpg,,Igor,LD,33,68,Brazil,wiki/missing_player.jpg,,Vera Cruz,LD,33,68,Brazil,wiki/missing_player.jpg
a,Leno Alves,LD,26,62,Brazil,wiki/missing_player.jpg,,Marcelo Sendeski3,LD,26,62,Brazil,wiki/missing_player.jpg,,Iran,LD,26,62,Brazil,wiki/missing_player.jpg,,João Pedro,LD,26,62,Brazil,wiki/missing_player.jpg,,Daniel,LD,26,62,Brazil,wiki/missing_player.jpg,,Cris,LD,26,62,Brazil,wiki/missing_player.jpg,,Ademar,LD,26,62,Brazil,wiki/missing_player.jpg,,Alef,LD,26,62,Brazil,wiki/missing_player.jpg,,Iago Leite,LD,26,62,Brazil,wiki/missing_player.jpg,,Rafael Hettsheimeir,LD,26,62,Brazil,wiki/missing_player.jpg,,Vanderson Bruno Maia Da Silva,LD,26,62,Brazil,wiki/missing_player.jpg
a,Rogerinho,ZAG,28,62,Brazil,wiki/missing_player.jpg,,Douglas Assis4,ZAG,28,67,Brazil,wiki/missing_player.jpg,,Davison,ZAG,28,67,Brazil,wiki/missing_player.jpg,,Yuri,ZAG,28,67,Brazil,wiki/missing_player.jpg,,Paulo Vitor Balbi Serra,ZAG,28,67,Brazil,wiki/missing_player.jpg,,Yuri,ZAG,28,67,Brazil,wiki/missing_player.jpg,,Vesgo,ZAG,28,67,Brazil,wiki/missing_player.jpg,,Dankler,ZAG,28,67,Brazil,wiki/missing_player.jpg,,Felipinho,ZAG,28,67,Brazil,wiki/missing_player.jpg,,Danilo Fuzaro,ZAG,28,67,Brazil,wiki/missing_player.jpg,,Lucas Da Silva Manoel,ZAG,28,67,Brazil,wiki/missing_player.jpg
a,Amaral,ZAG,24,63,Brazil,wiki/missing_player.jpg,,Julinho6,ZAG,24,63,Brazil,wiki/missing_player.jpg,,Marcinho,ZAG,24,63,Brazil,wiki/missing_player.jpg,,Igor Miranda,ZAG,24,63,Brazil,wiki/missing_player.jpg,,Thiago de Medeiros Godilho,ZAG,24,63,Brazil,wiki/missing_player.jpg,,Jéferson Paulista,ZAG,24,63,Brazil,wiki/missing_player.jpg,,Charles,ZAG,24,63,Brazil,wiki/missing_player.jpg,,Dráusio,ZAG,24,63,Brazil,wiki/missing_player.jpg,,Michel Bennech Vercino,ZAG,24,63,Brazil,wiki/missing_player.jpg,,Anderson Rodrigues,ZAG,24,63,Brazil,wiki/missing_player.jpg,,Renan,ZAG,24,63,Brazil,wiki/missing_player.jpg
a,Yuan,ZAG,35,64,Brazil,wiki/missing_player.jpg,,Pablo Alves11,ZAG,35,65,Brazil,wiki/missing_player.jpg,,Marcos Bebê,ZAG,35,65,Brazil,wiki/missing_player.jpg,,Marquinhos Matos,ZAG,35,65,Brazil,wiki/missing_player.jpg,,Tamare,ZAG,35,65,Brazil,wiki/missing_player.jpg,,Gordo,ZAG,35,65,Brazil,wiki/missing_player.jpg,,Palito,ZAG,35,65,Brazil,wiki/missing_player.jpg,,Héracles,ZAG,35,65,Brazil,wiki/missing_player.jpg,,Patryck Annes,ZAG,35,65,Brazil,wiki/missing_player.jpg,,Gemerson,ZAG,35,65,Brazil,wiki/missing_player.jpg,,Filipinho,ZAG,35,65,Brazil,wiki/missing_player.jpg
