club,name,position,age,overall,nationality,image
Chelsea,N. Kanté,VOL MC,31,88,France,/215/914/23_60.png
Chelsea,K. Koulibaly,ZAG,31,86,Senegal,/201/024/23_60.png
Chelsea,É. Mendy,GOL,30,86,Senegal,/234/642/23_60.png
Chelsea,Thiago Silva,ZAG,37,86,Brazil,/164/240/23_60.png
Chelsea,R. Lukaku,ATA,29,86,Belgium,/192/505/23_60.png
Chelsea,R. Sterling,PE PD ATA,27,85,England,/202/652/23_60.png
Chelsea,P. Aubameyang,ATA,33,84,Gabon,/188/567/23_60.png
Chelsea,M. Kovačić,MC,28,84,Croatia,/207/410/23_60.png
Chelsea,R. James,LD LD,22,84,England,/238/074/23_60.png
Chelsea,K. Havertz,MEI ATA ATA,23,84,Germany,/235/790/23_60.png
Chelsea,Jorginho,MC VOL,30,84,Italy,/205/498/23_60.png
Chelsea,H. Ziyech,PD MEI,29,83,Morocco,/208/670/23_60.png
Chelsea,M. Mount,MEI PD,23,83,England,/233/064/23_60.png
Chelsea,C. Pulisic,PE PD ME,23,82,United States,/227/796/23_60.png
Chelsea,Azpilicueta,ZAG LD LD,32,82,Spain,/184/432/23_60.png
Chelsea,B. Chilwell,LE LE,25,82,England,/229/984/23_60.png
Chelsea,Kepa,GOL,27,81,Spain,/206/585/23_60.png
Chelsea,Cucurella,LE ZAG LE,23,81,Spain,/239/231/23_60.png
Chelsea,D. Zakaria,VOL MC,25,81,Switzerland,/229/261/23_60.png
Chelsea,W. Fofana,ZAG,21,79,France,/248/695/23_60.png
Chelsea,C. Hudson-Odoi,ME MEI MD,21,78,England,/240/740/23_60.png
Chelsea,C. Gallagher,MC,22,78,England,/238/216/23_60.png
Chelsea,R. Loftus-Cheek,MC VOL MD,26,77,England,/213/666/23_60.png
Chelsea,T. Chalobah,ZAG VOL MC,22,76,England,/230/918/23_60.png
Chelsea,M. Sarr,ZAG LE,23,75,France,/235/454/23_60.png
Chelsea,T. Bakayoko,VOL MC,27,75,France,/219/809/23_60.png
Chelsea,A. Broja,ATA,20,75,Albania,/256/268/23_60.png
Chelsea,E. Ampadu,VOL MC ZAG,21,73,Wales,/235/735/23_60.png
Chelsea,I. Maatsen,LE LE,20,71,Netherlands,/248/465/23_60.png
Chelsea,M. Bettinelli,GOL,30,70,England,/204/246/23_60.png
Chelsea,B. Rahman,LE LE,27,70,Ghana,/209/620/23_60.png
Chelsea,L. Colwill,ZAG,19,70,England,/262/859/23_60.png
Chelsea,N. Baxter,GOL,23,69,England,/234/803/23_60.png
Chelsea,D. Sterling,LD LD LE,22,68,England,/238/071/23_60.png
Chelsea,T. Anjorin,MEI PD MC,20,66,England,/248/474/23_60.png
Chelsea,G. Slonina,GOL,18,66,United States,/248/158/23_60.png
