a,Barnsley,,,,,,,Bristol City,,,,,,,Blackpool,,,,,,,Brentford,,,,,,,Bolton,,,,,,,Cardiff City,,,,,,,Coventry,,,,,,,Charlton Athletic,,,,,,,Hull City,,,,,,,Huddersfield Town,,,,,,,Gillingham,,,,,,,Ipswich Town,,,,,,,Luton Town,,,,,,,Millwall,,,,,,,Milton Keynes Dons,,,,,,,Oxford United,,,,,,,
a,C. Styles,LE MC MD,22,71,Hungary,/234/087/23_60.png,,D. Bentley,GOL,28,73,England,/198/350/23_60.png,,M. Ekpiteta,ZAG,26,71,England,/250/810/23_60.png,,B. Mee,ZAG,32,78,England,/189/682/23_60.png,,Ricardo Santos,ZAG,27,68,Portugal,/212/090/23_60.png,,R. Sawyers,MC MEI VOL,30,71,Saint Kitts and Nevis,/192/495/23_60.png,,G. Hamer,MC VOL,25,74,Netherlands,/234/741/23_60.png,,G. Dobson,VOL,24,68,England,/225/769/23_60.png,,J. Seri,MC VOL,30,74,Ivory Coast,/216/451/23_60.png,,L. Nicholls,GOL,29,73,England,/198/285/23_60.png,,S. Williams,VOL MC,35,64,Ireland,/181/681/23_60.png,,C. Walton,GOL,26,69,England,/206/561/23_60.png,,E. Adebayo,ATA,24,72,England,/229/375/23_60.png,,J. Cooper,ZAG,27,73,England,/216/481/23_60.png,,J. Cumming,GOL,22,67,England,/238/070/23_60.png,,C. Brannagan,MC,26,70,England,/220/940/23_60.png,,
a,M. Andersen,ZAG,24,69,Denmark,/228/419/23_60.png,,A. Weimann,ATA MEI MC,30,73,Austria,/194/017/23_60.png,,K. Dougall,VOL MC,29,70,Australia,/233/105/23_60.png,,I. Toney,ATA,26,78,England,/212/228/23_60.png,,D. Afolayan,PE MEI,24,68,England,/242/946/23_60.png,,C. Robinson,ATA PE PD,27,71,Ireland,/206/518/23_60.png,,C. O'Hare,MEI PD,24,73,England,/238/058/23_60.png,,C. Aneke,ATA,28,67,England,/202/123/23_60.png,,D. Pelkas,MEI PE,28,74,Greece,/208/053/23_60.png,,M. Helik,ZAG,26,71,Poland,/219/293/23_60.png,,G. Morris,GOL,38,63,England,/019/541/23_60.png,,W. Burns,LD MD,27,69,Wales,/212/484/23_60.png,,J. Bree,LD LD,24,71,England,/222/156/23_60.png,,Z. Flemming,MEI ATA PD,23,73,Netherlands,/239/373/23_60.png,,W. O'Hora,ZAG,23,67,Ireland,/235/728/23_60.png,,S. Findlay,ZAG,26,67,Scotland,/227/945/23_60.png,,
a,T. Edwards,LD LD ZAG,23,69,England,/238/319/23_60.png,,T. Kalas,ZAG,29,72,Czech Republic,/201/122/23_60.png,,J. Yates,ATA PE,25,69,England,/226/507/23_60.png,,David Raya,GOL,26,77,Spain,/220/901/23_60.png,,J. Trafford,GOL,19,66,England,/263/063/23_60.png,,A. Rinomhota,VOL MC,25,70,England,/228/517/23_60.png,,V. Gyökeres,ATA,24,72,Sweden,/241/651/23_60.png,,J. Forster-Caskey,MC,28,67,England,/199/917/23_60.png,,O. Tufan,MC MEI VOL,27,73,Turkey,/223/154/23_60.png,,T. Lees,ZAG,31,70,England,/193/569/23_60.png,,R. McKenzie,LD LE VOL,23,63,England,/231/411/23_60.png,,L. Woolfenden,ZAG,23,68,England,/240/500/23_60.png,,T. Lockyer,ZAG,27,71,Wales,/211/363/23_60.png,,A. Voglsammer,ATA ME MD,30,72,Germany,/211/891/23_60.png,,B. Johnson,VOL MC,35,67,England,/152/536/23_60.png,,J. Murphy,PE ATA,27,67,England,/206/083/23_60.png,,
a,B. Collins,GOL,25,69,England,/225/543/23_60.png,,K. Naismith,ZAG LE,30,71,Scotland,/205/054/23_60.png,,I. Poveda,PD MD MEI,22,69,England,/243/390/23_60.png,,T. Strakosha,GOL,27,77,Albania,/212/151/23_60.png,,K. Dempsey,MC MEI,26,66,England,/221/705/23_60.png,,J. Ralls,MC VOL MEI,28,70,England,/204/464/23_60.png,,B. Sheaf,VOL MC,24,71,England,/225/779/23_60.png,,J. Stockley,ATA,28,66,England,/195/427/23_60.png,,Ó. Estupiñán,ATA,25,73,Colombia,/228/761/23_60.png,,D. Ward,ATA,31,70,England,/194/319/23_60.png,,S. Kashket,MD PD ATA,26,63,England,/224/770/23_60.png,,G. Edmundson,ZAG,24,68,England,/228/888/23_60.png,,E. Horvath,GOL,27,71,United States,/219/736/23_60.png,,S. Hutchinson,ZAG,31,71,England,/193/549/23_60.png,,D. Lewington,ZAG,38,66,England,/138/830/23_60.png,,M. Browne,PE ME MD,24,66,England,/231/442/23_60.png,,
a,H. Kane,MC VOL,23,66,England,/236/247/23_60.png,,J. Dasilva,LE LE MD,24,70,England,/232/755/23_60.png,,K. Anderson,ME,27,69,England,/227/686/23_60.png,,C. Nørgaard,VOL MC,28,76,Denmark,/210/697/23_60.png,,J. Sheehan,MC VOL,27,66,Wales,/212/366/23_60.png,,C. Kipré,ZAG,25,69,Ivory Coast,/235/458/23_60.png,,J. Bidwell,LE LE,29,71,England,/196/952/23_60.png,,S. Sessegnon,LD LE,22,66,England,/239/800/23_60.png,,B. Tetteh,ATA ME,24,72,Ghana,/229/793/23_60.png,,S. Thomas,PD PE LD,23,70,Wales,/260/478/23_60.png,,M. Mandron,ATA,27,63,France,/204/785/23_60.png,,D. Ball,VOL MC,26,68,England,/222/396/23_60.png,,A. Bell,LE LE ZAG,28,70,Jamaica,/207/804/23_60.png,,M. Wallace,ZAG LE LE,29,71,Scotland,/208/024/23_60.png,,J. McEachran,MC,29,66,England,/198/704/23_60.png,,E. Moore,ZAG,25,66,England,/235/263/23_60.png,,
a,J. Williams,LD LD LE,22,66,England,/237/415/23_60.png,,A. Semenyo,ATA PD MD,22,70,Ghana,/241/236/23_60.png,,K. Stewart,VOL MC,28,69,Jamaica,/206/538/23_60.png,,M. Damsgaard,PE ME MEI,21,76,Denmark,/241/508/23_60.png,,D. Charles,ATA,26,65,Northern Ireland,/220/039/23_60.png,,R. Wintle,VOL MC,25,69,England,/227/929/23_60.png,,J. Panzo,ZAG LE LE,21,70,England,/252/001/23_60.png,,C. Blackett-Taylor,PE LE ATA,24,66,England,/230/864/23_60.png,,A. Traoré,MEI MC PD,27,72,Mali,/225/151/23_60.png,,J. Hogg,VOL MC ZAG,33,70,England,/183/546/23_60.png,,A. MacDonald,ME,32,63,Scotland,/189/163/23_60.png,,S. Morsy,MC VOL,30,68,Egypt,/197/975/23_60.png,,A. Campbell,MC VOL,23,70,Scotland,/233/484/23_60.png,,G. Honeyman,MC PD MEI,27,71,England,/216/270/23_60.png,,M. Eisa,ATA,27,66,Sudan,/239/611/23_60.png,,M. Taylor,ATA,32,66,England,/228/668/23_60.png,,
a,J. Walton,GOL,24,66,England,/228/369/23_60.png,,J. Williams,VOL MC MEI,25,70,England,/224/265/23_60.png,,J. Lawrence-Gabriel,LD,23,68,England,/232/106/23_60.png,,B. Mbeumo,PD ATA,22,75,Cameroon,/243/014/23_60.png,,G. Johnston,ZAG,23,65,Scotland,/240/912/23_60.png,,C. O'Dowda,PE PD,27,69,Ireland,/212/454/23_60.png,,F. Dabo,LD LD ZAG,26,70,England,/213/659/23_60.png,,C. McGrandles,MC VOL,26,66,Scotland,/225/279/23_60.png,,C. Christie,LD LD MD,29,71,Ireland,/200/778/23_60.png,,M. Pearson,ZAG,28,70,England,/208/014/23_60.png,,S. O'Keefe,MC VOL,31,63,England,/189/492/23_60.png,,C. Chaplin,PD MEI,25,68,England,/225/667/23_60.png,,S. Bradley,ZAG,30,70,England,/203/749/23_60.png,,S. Malone,LE LE,31,71,England,/193/185/23_60.png,,M. Smith,MC,22,66,Wales,/233/050/23_60.png,,D. Anderson,LD MD,27,66,Suriname,/209/401/23_60.png,,
a,N. Cadden,LE,25,66,Scotland,/243/842/23_60.png,,T. Klose,ZAG,34,70,Switzerland,/199/383/23_60.png,,C. Maxwell,GOL,31,68,Wales,/209/333/23_60.png,,E. Pinnock,ZAG,29,75,Jamaica,/238/717/23_60.png,,A. Bakayoko,ATA PD,26,65,Sierra Leone,/221/141/23_60.png,,R. Allsop,GOL,30,69,England,/199/812/23_60.png,,M. Godden,ATA,30,70,England,/187/157/23_60.png,,S. Fraser,MC,27,66,Scotland,/205/145/23_60.png,,D. Sinik,PE ME MEI,23,71,Turkey,/234/129/23_60.png,,D. Holmes,PD MC PE,27,68,United States,/213/948/23_60.png,,O. Lee,MC VOL MEI,30,63,England,/193/206/23_60.png,,M. Harness,PE MD MEI,26,68,England,/220/019/23_60.png,,H. Cornick,ATA PD,27,70,England,/216/155/23_60.png,,C. Styles,LE MC MD,22,71,Hungary,/234/087/23_60.png,,D. Harvie,LE,23,65,Scotland,/226/514/23_60.png,,J. Jones,PD MEI,24,66,Malta,/227/764/23_60.png,,
a,D. Cole,ATA PE,27,65,England,/206/134/23_60.png,,M. James,MC VOL,30,69,England,/186/139/23_60.png,,R. James,LE LE ZAG,28,68,England,/211/514/23_60.png,,Y. Wissa,PE ATA,25,75,Democratic Republic Congo,/234/824/23_60.png,,M. Williams,VOL MC,26,65,Wales,/224/017/23_60.png,,J. Collins,LE,27,69,Nigeria,/241/135/23_60.png,,T. Kane,LD LD,28,70,England,/204/847/23_60.png,,R. Inniss,ZAG,27,65,England,/204/499/23_60.png,,J. Greaves,ZAG,21,70,England,/248/602/23_60.png,,J. Ruffels,LE LE,28,68,England,/202/528/23_60.png,,A. Maynard-Brewer,GOL,23,63,Australia,/237/205/23_60.png,,Panutche Camará,MC,25,68,Guinea Bissau,/240/331/23_60.png,,P. Mpanzu,MC VOL,28,70,Democratic Republic Congo,/207/956/23_60.png,,B. Białkowski,GOL,34,71,Poland,/155/871/23_60.png,,J. Tucker,ZAG,22,65,England,/241/507/23_60.png,,Alex Gorrín,VOL,28,65,Spain,/205/961/23_60.png,,
a,A. Phillips,MC,24,65,England,/224/225/23_60.png,,H. Massengo,VOL MC,20,69,France,/246/594/23_60.png,,S. Lavery,ATA,23,67,Northern Ireland,/238/990/23_60.png,,K. Ajer,ZAG LD,24,75,Norway,/224/258/23_60.png,,A. Morley,MC,22,65,England,/235/807/23_60.png,,D. Phillips,GOL,27,69,England,/220/058/23_60.png,,S. Moore,GOL,32,70,England,/194/150/23_60.png,,J. Payne,MC,27,65,England,/216/467/23_60.png,,N. Baxter,GOL,23,69,England,/234/803/23_60.png,,C. Mahoney,PD MEI,25,68,England,/220/045/23_60.png,,J. Green,MD ATA,27,62,England,/235/700/23_60.png,,J. Donacien,ZAG LD,28,67,Saint Lucia,/209/675/23_60.png,,L. Freeman,MEI MC ME,30,69,England,/169/078/23_60.png,,G. Saville,MC VOL,29,70,Northern Ireland,/204/412/23_60.png,,D. Kemp,PE MEI,23,64,England,/238/059/23_60.png,,L. Bate,MC VOL,19,65,England,/261/374/23_60.png,,
