,Besiktas,,,,,Fenerbahce,,,,,Galatasaray,,,,,Shaktar Donetsk,,,,,Zenit,,,,,CSKA,,,,,Spartak Moscou,,,,,Olympiakos,,,,,Krasnodar,,,,,Dinamo Kiev,,,,,Dinamo Zagreb,,,,,Sparta Praga,,,,,Ludogorets,,,,,Partizan,,,,,Estrela Vermelha,,,,,APOEL,,,,
a,Valentin RosierL,LD,24,7782,,Mesut Özil,MEIPD,32,8180,,Fernando Muslera,GOL,34,8282,,Ismaily,LE,31,8181,,Dejan Lovren,ZAG,31,80,,Salomón Rondón,ATA,31,80,,Quincy Promes,MEI,29,81,,José Sá,GOL,28,7981,,Marcus Berg,ATA,34,80,,Viktor Tsyhankov,MEI,23,80,,Dominik Livaković,GOL,26,8186,,Florin Niță,GOL,33,7676,,Claudiu Keserü,ATA,34,77,,Bebras Natcho,MEI,33,78,,Milan Borjan,GOL,33,78,,Ghayas Zahid,MEI,26,75,
a,Domagoj Vida,ZAGLD,31,7777,,Luiz Gustavo,VOLZAG,33,7979,,Falcao,ATA,35,7979,,Marlos,MEIMD,32,8282,,Yaroslav Rakitskiy,ZAG,31,80,,Mário Fernandes,LD,30,81,,Victor Moses,MEI,30,80,,Yann M'Vila,VOLMC,30,7979,,Rémy Cabella,MEI,31,79,,Serhiy Sydorchuk,VOL,29,79,,Bruno Petković,ATAMEI,26,7780,,Bořek Dočkal,MEIMC,32,7575,,Pieros Sotiriou,ATA,28,77,,Lazar Marković,ATA,27,77,,Aleksandar Katai,MEI,30,77,,Mohamed Anuar,VOL,26,75,
a,Souza,VOLMC,32,7777,,Diego Perotti,MEPE,32,7878,,Sofiane Feghouli,MDMCMEI,31,7878,,Taison,MEMEI,33,8181,,Wilmar Barrios,VOL,27,81,,Nikola Vlašić,MEI,23,81,,Roman Zobnin,VOL,27,80,,Youssef El Arabi,ATA,34,7979,,Viktor Claesson,ATA,29,79,,Benjamin Verbić,ATA,27,79,,Mislav Oršić,MEPEATA,28,7777,,David Moberg Karlsson,MDMESA,27,7575,,Farias Wanderson,ATA,33,77,,Saša Zdjelar,VOL,26,77,,Guélor Kanga,MEI,30,77,,Ben Sahar,ATA,31,74,
a,Adem Ljajić,MEIMCME,29,7777,,Caner Erkin,LEME,32,7777,,Marcão,ZAG,24,7683,,Taras Stepanenko,VOL,31,7979,,Sardar Azmoun,ATA,26,83,,Igor Akinfeev,GOL,35,80,,Jorrit Hendrix,VOL,26,79,,Konstantinos Fortounis,MEIPEPD,28,7979,,Tonny Vilhena,VOL,26,80,,Vitaliy Mykolenko,LE,21,79,,Lovro Majer,MEIMCMD,23,7684,,Adam Hložek,ATAMEMD,18,7487,,Svetoslav Dyakov,VOL,36,76,,Takuma Asano,ATA,26,77,,Milan Pavkov,ATA,27,77,,Giorgios Merkis,ZAG,36,74,
a,Rachid GhezzalL,MDPD,28,7676,,José Sosa,MCVOL,35,7777,,Christian Luyindama,ZAG,27,7679,,Júnior Moraes,ATA,34,8078,,Filipe Malcom,MEI,24,81,,Alan Dzagoev,MEI,30,79,,Georgiy Dzhikiya,ZAG,27,79,,Mady Camara,MCVOL,24,7782,,Wanderson Maciel,MEI,26,79,,Tomasz Kędziora,LD,26,78,,Arijan Ademi,VOLMC,29,7676,,Srđan Plavšić,MEMD,25,7477,,Gusmão Cicinho,LD,32,76,,Jean-Christophe Bahebeck,ATA,27,75,,Filippo Falco,ATA,29,75,,Atdhe Nuhiu,ATA,31,74,
a,Atiba Hutchinson,VOLMC,38,7676,,Filip Novák,LE,30,7777,,Ryan Babel,MEATA,34,7676,,Tete,MDPD,21,7786,,Artem Dzyuba,ATA,32,82,,Fedor Chalov,ATA,23,79,,Samuel Gigot,ZAG,27,78,,Rúben Semedo,ZAG,27,7780,,Yuri Gazinskiy,VOL,31,78,,Vitaliy Buyalskiy,MEI,28,78,,Stefan Ristovski,ADDLDMD,29,7676,,Ondřej Čelůstka,ZAG,31,7474,,Dragos Grigore,ZAG,34,75,,Miloš Jojić,MEI,29,75,,Sékou Sanogo,VOL,31,75,,Paulo Vinícius,ZAG,31,74,
a,Vincent Aboubakar,ATA,29,7676,,İrfan Can Kahveci,MCMEI,25,7681,,Omar Elabdellaoui,LD,29,7676,,Andriy Pyatov,GOL,36,7876,,Sebastián Driussi,ATA,25,80,,Georgi Schennikov,LE,29,77,,Pedro Rocha,ATA,26,77,,Sokratis,ZAG,32,7777,,Aleksandr Martynovich,ZAG,33,78,,Denys Boyko,GOL,33,77,,Luka Ivanušec,MEIMEMD,22,7381,,David Pavelka,VOLMCZAG,29,7474,,Abel Anicet,MEI,31,75,,Seydouba Soumah,MEI,29,75,,Marko Gobeljić,VOL,28,75,,Tomás De Vincenti,MEI,32,74,
a,Georges-Kévin Nkoudou,ME,26,7576,,Altay Bayındır,GOL,23,7584,,Henry OnyekuruL,MEATA,23,7580,,Manor Solomon,MDMEMEI,21,7585,,Douglas Santos,ZAG,27,79,,Ivan Oblyakov,VOL,22,77,,Alex Král,VOL,22,78,,Mathieu Valbuena,PEMEI,36,7777,,Sergey Petrov,LD,30,78,,Oleksandr Karavaev,MEI,28,77,,Kévin Théophile-Catherine,ZAGLD,31,7373,,Ladislav Krejčí,MELE,28,7474,,Josué Sá,ZAG,28,75,,Slobodan Urošević,LE,27,75,,Radovan Pankov,ZAG,25,75,,Artur Jorge,ZAG,26,74,
a,Oğuzhan Özyakup,MCVOLMEI,28,7575,,Gökhan Gönül,LD,36,7575,,Ryan Donk,ZAGVOL,35,7575,,Yevhen Konoplyanka,MEPE,31,7878,,Daler Kuzyaev,LD,28,79,,Kirill Nababkin,VOL,34,75,,Ilya Kutepov,ZAG,27,77,,Kenny Lala,LDADD,29,7676,,Ferreira Ari,MEI,35,77,,Pereira Sidcley,LE,27,77,,Joško Gvardiol,ZAGLE,19,7287,,Dávid Hancko,ZAGLE,23,7383,,Stéphane Badji,LD,30,75,,Aleksandar Šćekić,VOL,29,75,,Aleksa Vukanović,ATA,28,75,,Miguel Silva,GOL,26,74,
